word,numSyl,numLet,isTarget
monkey,2,6,1
deer,1,4,1
badger,2,6,1
oyster,2,6,1
bear,1,4,1
quail,1,5,1
journal,2,7,0
llama,2,5,1
prison,2,6,0
jaguar,2,6,1
lamb,1,4,1
bull,1,4,1
lark,1,4,0
ferret,2,6,1
crab,1,4,1
emu,2,3,1
wolf,1,4,1
leopard,2,7,1
turkey,2,6,1
rock,1,4,0
cow,1,3,1
mussel,2,6,1
penguin,2,7,1
mule,1,4,1
turtle,2,6,1
donkey,2,6,1
pressure,2,8,0
jackal,2,6,1
walrus,2,6,1
goat,1,4,1
toucan,2,6,1
pigeon,2,6,1
mouse,1,5,1
duck,1,4,1
truth,1,5,0
disease,2,7,0
marmot,2,6,1
panther,2,7,1
ox,1,2,1
cat,1,3,1
lion,2,4,1
elk,1,3,1
dolphin,2,7,1
world,1,5,0
thicket,2,7,0
panda,2,5,1
hardship,2,8,0
devil,2,5,0
lobster,2,7,1
camel,2,5,1
horse,1,5,1
pony,2,4,1
beaver,2,6,1
crow,1,4,1
serpent,2,7,1
comrade,2,7,0
thief,1,5,0
fowl,1,4,1
lynx,1,4,1
friend,1,6,0
friction,2,8,0
toad,1,4,1
cash,1,4,0
boulder,2,7,0
sloth,1,5,1
swan,1,4,1
wombat,2,6,1
trout,1,5,1
shadow,2,6,0
chasm,1,5,0
raccoon,2,7,1
girl,1,4,0
pig,1,3,1
peacock,2,7,1
groundhog,2,9,1
flood,1,5,0
skink,1,5,1
shark,1,5,1
osprey,2,6,1
goose,1,5,1
flesh,1,5,0
finch,1,5,1
cod,1,3,1
skunk,1,5,1
raven,2,5,1
rabbit,2,6,1
pole,1,4,0
hawk,1,4,1
lizard,2,6,1
bird,1,4,1
boar,1,4,1
infant,2,6,0
wren,1,4,1
tiger,2,5,1
owl,1,3,1
swan,1,4,1
vision,2,6,0
chicken,2,7,1
zebra,2,5,1
whale,1,5,1
damsel,2,6,0
spider,2,6,1
boa,2,3,1
event,2,5,0
ostrich,2,7,1
shrimp,1,6,1
shame,1,5,0
frog,1,4,0
cottage,2,7,0
bullfrog,2,8,1
monk,1,4,0
sheep,1,5,1
kitten,2,6,1
squirrel,2,8,1
gull,1,4,1
earth,1,5,0
hog,1,3,1
stingray,2,8,1
parrot,2,6,1
anger,2,5,0
scallop,2,7,1
background,2,10,0
snake,1,5,1
bluejay,2,7,1
viper,2,5,1
kettle,2,6,0
dog,1,3,1
painter,2,7,0
power,2,5,0
hen,1,3,1
rat,1,3,1
ape,1,3,1
moose,1,5,1
building,2,8,0
woodchuck,2,9,1
present,2,7,0
bloom,1,5,0
doll,1,4,0